county,implementing_partner,lead_organisation,reached,#activities,adm1_pcode
Baringo,Bartabwa,World Vision Kenya,849,1,KE030
Baringo,IWS,AVSI Foundation,10,2,KE030
Baringo,Save the Children,Save the Children,1177,3,KE030
Baringo,Save the Children,UNICEF,1205,2,KE030
Baringo,World Vision Kenya,World Vision Kenya,3564,4,KE030
Garissa,AVSI Foundation,AVSI Foundation,1299,2,KE007
Garissa,Finn Church Aid,UNICEF,1242,1,KE007
Garissa,Norwegian Refugee Council,Save the Children,2019,2,KE007
Garissa,Qatar Charity,Qatar Charity,1541,1,KE007
Garissa,Save the Children,Save the Children,709,1,KE007
Homa Bay,Dignitas,Dignitas,135,1,KE043
Homa Bay,Homa Bay  Counties- Department of Education; MoE D,Population Council,57020,1,KE043
Isiolo,ERIKs Development Partner,VSO,249,1,KE011
Isiolo,Lifeskill Promoters,Lifeskill Promoters,977,2,KE011
Isiolo,Lifeskill Promoters,UNICEF,3082,1,KE011
Isiolo,We World,We World,9651,1,KE011
Kajiado,Evangelizing Sisters of Mary,AVSI Foundation,23,1,KE034
Kajiado,Girl Child Network,Save the Children,350,1,KE034
Kajiado,SMB,AVSI Foundation,135,1,KE034
Kajiado,Servants of the Poor,AVSI Foundation,202,1,KE034
Kajiado,The Girl Child Network (GCN),Save the Children,350,1,KE034
Kajiado,WERK,UNICEF,8405,2,KE034
Kilifi,"Futebol da Forcaa, Moving the Goalposts -Kilifi",Save the Children,40,1,KE003
Kilifi,WERK,UNICEF,1634,2,KE003
Kilifi,World Vision Kenya,World Vision Kenya,6801,3,KE003
Kwale,The Girl Child Network (GCN),Save the Children,350,1,KE002
Kwale,WERK,UNICEF,2801,2,KE002
Lamu,World Vision Kenya,World Vision Kenya,0,2,KE005
Mandera,CDE Mandera,UNICEF,0,1,KE009
Marsabit,FHK,FHK,6212,4,KE010
Marsabit,Finn Church Aid,UNICEF,3884,5,KE010
Marsabit,Nawiri Children Development Program,ChildFund Kenya,3037,2,KE010
Marsabit,World Vision Kenya,World Vision Kenya,2077,3,KE010
Meru,AVSI Foundation,AVSI Foundation,0,1,KE012
Meru,FHK,FHK,6621,3,KE012
Narok,MOE,World Vision Kenya,1217,2,KE033
Narok,Missionary Sisters of the Catechism,AVSI Foundation,0,1,KE033
Narok,Save the Children,World Vision Kenya,60,1,KE033
Narok,WERK,UNICEF,1391,2,KE033
Narok,We World,We World,11296,1,KE033
Narok,World Vision Kenya,World Vision Kenya,0,1,KE033
Samburu,Finn Church Aid,Finn Church Aid,461,2,KE025
Samburu,Finn Church Aid,UNICEF,13879,3,KE025
Samburu,Special Olympics Kenya,UNICEF,296,1,KE025
Taita Taveta,KRCS,KRCS,0,1,KE006
Taita Taveta,World Vision Kenya,World Vision Kenya,45,1,KE006
Tana River,WERK,UNICEF,4716,2,KE004
Tana River,"Women Educational Researchers of Kenya,",UNICEF,4175,1,KE004
Turkana,Finn Church Aid,Finn Church Aid,92972,5,KE023
Turkana,Finn Church Aid,UNICEF,10520,4,KE023
Turkana,Frontiers Community Development Program,ChildFund Kenya,491,1,KE023
Turkana,Jesuit Refugee Service,Jesuit Refugee Service,0,1,KE023
Turkana,Lifeskill Promoters,Lifeskill Promoters,2576,2,KE023
Turkana,Lifeskill Promoters,UNICEF,5021,2,KE023
Turkana,Mondi,World Vision Kenya,2197,1,KE023
Turkana,Norwegian Refugee Council,UNICEF,1614,2,KE023
Turkana,Save the Children,Save the Children,4813,3,KE023
Turkana,Save the Children,UNICEF,1139,2,KE023
Turkana,Special Olympics Kenya,UNICEF,202,1,KE023
Turkana,Voluntary Service Overseas(VSO),Voluntary Service Overseas(VSO),42,1,KE023
Turkana,Windle International Kenya,UNICEF,196,1,KE023
Wajir,Action for Sustainable Change,Action for Sustainable Change,2080,3,KE008
Wajir,Action for Sustainable Change,Action for Sustainable change,30,1,KE008
Wajir,CDE Wajir,UNICEF,361,1,KE008
Wajir,Save the Children,Save the Children,8700,3,KE008
Wajir,Save the Children,UNICEF,1259,2,KE008
West Pokot,Finn Church Aid,UNICEF,6271,2,KE024
West Pokot,Special Olympics Kenya,UNICEF,350,1,KE024
