month,county,sub_indicator,value,sex_modifier,beneficiary_group,age_modifier,unicef_indicator_number,unicef_indicator
January, Baringo,indicator1_all_total,163,total,all,total,1,1. OOSC accessing formal education
January, Baringo,indicator1_all_boys,97,male,all,children,1,1. OOSC accessing formal education
January, Baringo,indicator1_all_girls,66,female,all,children,1,1. OOSC accessing formal education
January, Baringo,indicator1_host_community_total,163,total,host_community,NA,1,1. OOSC accessing formal education
January, Baringo,indicator1_host_community_boys,97,male,host_community,children,1,1. OOSC accessing formal education
January, Baringo,indicator1_host_community_girls,66,female,host_community,children,1,1. OOSC accessing formal education
January, Baringo,indicator5_all_total,133,total,all,total,5,5. BoM trained resilience programmes
January, Baringo,indicator5_all_male,105,male,all,adults,5,5. BoM trained resilience programmes
January, Baringo,indicator5_all_female,28,female,all,adults,5,5. BoM trained resilience programmes
January, Baringo,indicator5_host_community_total,133,total,host_community,NA,5,5. BoM trained resilience programmes
January, Baringo,indicator5_host_community_male,105,male,host_community,adults,5,5. BoM trained resilience programmes
January, Baringo,indicator5_host_community_female,28,female,host_community,adults,5,5. BoM trained resilience programmes
March, Baringo,indicator1_all_total,317,total,all,total,1,1. OOSC accessing formal education
March, Baringo,indicator1_all_boys,136,male,all,children,1,1. OOSC accessing formal education
March, Baringo,indicator1_all_girls,181,female,all,children,1,1. OOSC accessing formal education
March, Baringo,indicator1_host_community_total,317,total,host_community,NA,1,1. OOSC accessing formal education
March, Baringo,indicator1_host_community_boys,136,male,host_community,children,1,1. OOSC accessing formal education
March, Baringo,indicator1_host_community_girls,181,female,host_community,children,1,1. OOSC accessing formal education
March, Baringo,indicator4_all_total,20,total,all,total,4,4. Teachers trained resilience programmes
March, Baringo,indicator4_all_male,11,male,all,adults,4,4. Teachers trained resilience programmes
March, Baringo,indicator4_all_female,9,female,all,adults,4,4. Teachers trained resilience programmes
March, Baringo,indicator4_host_community_total,20,total,host_community,NA,4,4. Teachers trained resilience programmes
March, Baringo,indicator4_host_community_male,11,male,host_community,adults,4,4. Teachers trained resilience programmes
March, Baringo,indicator4_host_community_female,9,female,host_community,adults,4,4. Teachers trained resilience programmes
March, Baringo,indicator5_all_total,1379,total,all,total,5,5. BoM trained resilience programmes
March, Baringo,indicator5_all_male,714,male,all,adults,5,5. BoM trained resilience programmes
March, Baringo,indicator5_all_female,665,female,all,adults,5,5. BoM trained resilience programmes
March, Baringo,indicator5_host_community_total,1379,total,host_community,NA,5,5. BoM trained resilience programmes
March, Baringo,indicator5_host_community_male,714,male,host_community,adults,5,5. BoM trained resilience programmes
March, Baringo,indicator5_host_community_female,665,female,host_community,adults,5,5. BoM trained resilience programmes
April, Baringo,indicator1_all_total,254,total,all,total,1,1. OOSC accessing formal education
April, Baringo,indicator1_all_boys,157,male,all,children,1,1. OOSC accessing formal education
April, Baringo,indicator1_all_girls,97,female,all,children,1,1. OOSC accessing formal education
April, Baringo,indicator1_host_community_boys,157,male,host_community,children,1,1. OOSC accessing formal education
April, Baringo,indicator1_host_community_girls,97,female,host_community,children,1,1. OOSC accessing formal education
April, Baringo,indicator4_all_total,304,total,all,total,4,4. Teachers trained resilience programmes
April, Baringo,indicator4_all_male,161,male,all,adults,4,4. Teachers trained resilience programmes
April, Baringo,indicator4_all_female,143,female,all,adults,4,4. Teachers trained resilience programmes
April, Baringo,indicator4_host_community_total,304,total,host_community,NA,4,4. Teachers trained resilience programmes
April, Baringo,indicator4_host_community_male,161,male,host_community,adults,4,4. Teachers trained resilience programmes
April, Baringo,indicator4_host_community_female,143,female,host_community,adults,4,4. Teachers trained resilience programmes
April, Baringo,indicator5_all_total,47,total,all,total,5,5. BoM trained resilience programmes
April, Baringo,indicator5_all_male,23,male,all,adults,5,5. BoM trained resilience programmes
April, Baringo,indicator5_all_female,24,female,all,adults,5,5. BoM trained resilience programmes
April, Baringo,indicator5_host_community_total,47,total,host_community,NA,5,5. BoM trained resilience programmes
April, Baringo,indicator5_host_community_male,23,male,host_community,adults,5,5. BoM trained resilience programmes
April, Baringo,indicator5_host_community_female,24,female,host_community,adults,5,5. BoM trained resilience programmes
June, Baringo,indicator1_all_total,83,total,all,total,1,1. OOSC accessing formal education
June, Baringo,indicator1_all_boys,36,male,all,children,1,1. OOSC accessing formal education
June, Baringo,indicator1_all_girls,47,female,all,children,1,1. OOSC accessing formal education
June, Baringo,indicator1_host_community_boys,36,male,host_community,children,1,1. OOSC accessing formal education
June, Baringo,indicator1_host_community_girls,47,female,host_community,children,1,1. OOSC accessing formal education
January,Garissa,indicator5_all_total,188,total,all,total,5,5. BoM trained resilience programmes
January,Garissa,indicator5_all_male,106,male,all,adults,5,5. BoM trained resilience programmes
January,Garissa,indicator5_all_female,82,female,all,adults,5,5. BoM trained resilience programmes
January,Garissa,indicator5_host_community_total,188,total,host_community,NA,5,5. BoM trained resilience programmes
January,Garissa,indicator5_host_community_male,106,male,host_community,adults,5,5. BoM trained resilience programmes
January,Garissa,indicator5_host_community_female,82,female,host_community,adults,5,5. BoM trained resilience programmes
February,Garissa,indicator1_all_total,1242,total,all,total,1,1. OOSC accessing formal education
February,Garissa,indicator1_all_boys,575,male,all,children,1,1. OOSC accessing formal education
February,Garissa,indicator1_all_girls,667,female,all,children,1,1. OOSC accessing formal education
February,Garissa,indicator1_host_community_total,1242,total,host_community,NA,1,1. OOSC accessing formal education
February,Garissa,indicator1_host_community_boys,575,male,host_community,children,1,1. OOSC accessing formal education
February,Garissa,indicator1_host_community_girls,667,female,host_community,children,1,1. OOSC accessing formal education
January, Isiolo,indicator1_all_total,1530,total,all,total,1,1. OOSC accessing formal education
January, Isiolo,indicator1_all_boys,784,male,all,children,1,1. OOSC accessing formal education
January, Isiolo,indicator1_all_girls,746,female,all,children,1,1. OOSC accessing formal education
January, Isiolo,indicator1_host_community_total,1530,total,host_community,NA,1,1. OOSC accessing formal education
January, Isiolo,indicator1_host_community_boys,784,male,host_community,children,1,1. OOSC accessing formal education
January, Isiolo,indicator1_host_community_girls,746,female,host_community,children,1,1. OOSC accessing formal education
January, Isiolo,indicator5_all_total,175,total,all,total,5,5. BoM trained resilience programmes
