county,month,sub_indicator,unicef_indicator_number,unicef_indicator,sex_modifier,beneficiary_group,age_modifier,value
Baringo,January,indicator1_host_community_boys,1,1. OOSC accessing formal education,male,host_community,children,97
Baringo,January,indicator1_host_community_girls,1,1. OOSC accessing formal education,female,host_community,children,66
Baringo,January,indicator1_idps_boys,1,1. OOSC accessing formal education,male,idps,children,0
Baringo,January,indicator1_idps_girls,1,1. OOSC accessing formal education,female,idps,children,0
Baringo,January,indicator1_refugees_boys,1,1. OOSC accessing formal education,male,refugees,children,0
Baringo,January,indicator1_refugees_girls,1,1. OOSC accessing formal education,female,refugees,children,0
Baringo,January,indicator1_cwd_boys,1,1. OOSC accessing formal education,male,cwd,children,0
Baringo,January,indicator1_cwd_girls,1,1. OOSC accessing formal education,female,cwd,children,0
Baringo,January,indicator2_host_community_boys,2,2. Children benefiting from child-friendly environment,male,host_community,children,0
Baringo,January,indicator2_host_community_girls,2,2. Children benefiting from child-friendly environment,female,host_community,children,0
Baringo,January,indicator2_idps_boys,2,2. Children benefiting from child-friendly environment,male,idps,children,0
Baringo,January,indicator2_idps_girls,2,2. Children benefiting from child-friendly environment,female,idps,children,0
Baringo,January,indicator2_refugees_boys,2,2. Children benefiting from child-friendly environment,male,refugees,children,0
Baringo,January,indicator2_refugees_girls,2,2. Children benefiting from child-friendly environment,female,refugees,children,0
Baringo,January,indicator2_cwd_boys,2,2. Children benefiting from child-friendly environment,male,cwd,children,0
Baringo,January,indicator2_cwd_girls,2,2. Children benefiting from child-friendly environment,female,cwd,children,0
Baringo,January,indicator2_new_latrines,2,2. Children benefiting from child-friendly environment,NA,NA,NA,0
Baringo,January,indicator2_rehabiltated_latrines,2,2. Children benefiting from child-friendly environment,NA,NA,NA,0
Baringo,January,indicator2_new_classrooms,2,2. Children benefiting from child-friendly environment,NA,NA,NA,0
Baringo,January,indicator2_rehabilitated_classrooms,2,2. Children benefiting from child-friendly environment,NA,NA,NA,0
Baringo,January,indicator3_host_community_boys,3,3. Children who receive assistance to continue learning,male,host_community,children,0
Baringo,January,indicator3_host_community_girls,3,3. Children who receive assistance to continue learning,female,host_community,children,0
Baringo,January,indicator3_idps_boys,3,3. Children who receive assistance to continue learning,male,idps,children,0
Baringo,January,indicator3_idps_girls,3,3. Children who receive assistance to continue learning,female,idps,children,0
Baringo,January,indicator3_refugees_boys,3,3. Children who receive assistance to continue learning,male,refugees,children,0
