county,month,indicator1_host_community_boys,indicator1_host_community_girls,indicator1_idps_boys,indicator1_idps_girls,indicator1_refugees_boys,indicator1_refugees_girls,indicator1_cwd_boys,indicator1_cwd_girls,indicator1_narrative,indicator2_host_community_boys,indicator2_host_community_girls,indicator2_idps_boys,indicator2_idps_girls,indicator2_refugees_boys,indicator2_refugees_girls,indicator2_cwd_boys,indicator2_cwd_girls,indicator2_new_latrines,indicator2_rehabiltated_latrines,indicator2_new_classrooms,indicator2_rehabilitated_classrooms,indicator2_narrative,indicator3_host_community_boys,indicator3_host_community_girls,indicator3_idps_boys,indicator3_idps_girls,indicator3_refugees_boys,indicator3_refugees_girls,indicator3_cwd_boys,indicator3_cwd_girls,indicator3_narrative,indicator4_host_community_male,indicator4_host_community_female,indicator4_idps_male,indicator4_idps_female,indicator4_refugees_male,indicator4_refugees_female,indicator4_narrative,indicator5_host_community_male,indicator5_host_community_female,indicator5_idps_male,indicator5_idps_female,indicator5_refugees_male,indicator5_refugees_female,indicator5_narrative,indicator6_male,indicator6_female,indicator6_narrative,indicator7_host_community_boys,indicator7_host_community_girls,indicator7_idps_boys,indicator7_idps_girls,indicator7_refugees_boys,indicator7_refugees_girls,indicator7_cwd_boys,indicator7_cwd_girls,indicator7_narrative
Baringo,January,97,66,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,105,28,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Baringo,February,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Baringo,March,136,181,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,11,9,0,0,0,0,,714,665,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Baringo,April,157,97,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,161,143,0,0,0,0,,23,24,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Baringo,May,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Baringo,June,36,47,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Baringo,July,288,324,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,3,2,,0,0,0,0,0,0,0,0,
Baringo,August,373,391,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,6,44,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Baringo,September,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Baringo,October,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
