month,county,sub_indicator,value,char_value,sex_modifier,beneficiary_group,age_modifier,unicef_indicator_number,unicef_indicator
Total,Baringo,indicator1_all_total_children,817,817,total,all,children,1,1. OOSC accessing formal education
Total,Baringo,indicator1_all_boys,426,426,male,all,children,1,1. OOSC accessing formal education
Total,Baringo,indicator1_all_girls,391,391,female,all,children,1,1. OOSC accessing formal education
Total,Baringo,indicator1_host_community_total_children,817,480,total,host_community,children,1,1. OOSC accessing formal education
Total,Baringo,indicator1_host_community_boys,426,426,male,host_community,children,1,1. OOSC accessing formal education
Total,Baringo,indicator1_host_community_girls,391,391,female,host_community,children,1,1. OOSC accessing formal education
Total,Baringo,indicator1_idps_total_children,0,0,total,idps,children,1,1. OOSC accessing formal education
Total,Baringo,indicator1_idps_boys,0,0,male,idps,children,1,1. OOSC accessing formal education
Total,Baringo,indicator1_idps_girls,0,0,female,idps,children,1,1. OOSC accessing formal education
Total,Baringo,indicator1_refugees_total_children,0,0,total,refugees,children,1,1. OOSC accessing formal education
Total,Baringo,indicator1_refugees_boys,0,0,male,refugees,children,1,1. OOSC accessing formal education
Total,Baringo,indicator1_refugees_girls,0,0,female,refugees,children,1,1. OOSC accessing formal education
Total,Baringo,indicator1_cwd_total_children,0,0,total,cwd,children,1,1. OOSC accessing formal education
Total,Baringo,indicator1_cwd_boys,0,0,male,cwd,children,1,1. OOSC accessing formal education
Total,Baringo,indicator1_cwd_girls,0,0,female,cwd,children,1,1. OOSC accessing formal education
Total,Baringo,indicator1_narrative,NA,-,NA,NA,NA,1,1. OOSC accessing formal education
Total,Baringo,indicator2_all_total_children,0,0,total,all,children,2,2. Children benefiting from child-friendly environment
Total,Baringo,indicator2_all_boys,0,0,male,all,children,2,2. Children benefiting from child-friendly environment
Total,Baringo,indicator2_all_girls,0,0,female,all,children,2,2. Children benefiting from child-friendly environment
Total,Baringo,indicator2_host_community_total_children,0,0,total,host_community,children,2,2. Children benefiting from child-friendly environment
Total,Baringo,indicator2_host_community_boys,0,0,male,host_community,children,2,2. Children benefiting from child-friendly environment
Total,Baringo,indicator2_host_community_girls,0,0,female,host_community,children,2,2. Children benefiting from child-friendly environment
Total,Baringo,indicator2_idps_total_children,0,0,total,idps,children,2,2. Children benefiting from child-friendly environment
Total,Baringo,indicator2_idps_boys,0,0,male,idps,children,2,2. Children benefiting from child-friendly environment
Total,Baringo,indicator2_idps_girls,0,0,female,idps,children,2,2. Children benefiting from child-friendly environment
Total,Baringo,indicator2_refugees_total_children,0,0,total,refugees,children,2,2. Children benefiting from child-friendly environment
Total,Baringo,indicator2_refugees_boys,0,0,male,refugees,children,2,2. Children benefiting from child-friendly environment
Total,Baringo,indicator2_refugees_girls,0,0,female,refugees,children,2,2. Children benefiting from child-friendly environment
Total,Baringo,indicator2_cwd_total_children,0,0,total,cwd,children,2,2. Children benefiting from child-friendly environment
Total,Baringo,indicator2_cwd_boys,0,0,male,cwd,children,2,2. Children benefiting from child-friendly environment
Total,Baringo,indicator2_cwd_girls,0,0,female,cwd,children,2,2. Children benefiting from child-friendly environment
Total,Baringo,indicator2_new_latrines,0,0,NA,NA,NA,2,2. Children benefiting from child-friendly environment
Total,Baringo,indicator2_rehabiltated_latrines,0,0,NA,NA,NA,2,2. Children benefiting from child-friendly environment
Total,Baringo,indicator2_new_classrooms,0,0,NA,NA,NA,2,2. Children benefiting from child-friendly environment
Total,Baringo,indicator2_rehabilitated_classrooms,0,0,NA,NA,NA,2,2. Children benefiting from child-friendly environment
Total,Baringo,indicator2_narrative,NA,-,NA,NA,NA,2,2. Children benefiting from child-friendly environment
Total,Baringo,indicator3_all_total_children,0,0,total,all,children,3,3. Children who receive assistance to continue learning
Total,Baringo,indicator3_all_boys,0,0,male,all,children,3,3. Children who receive assistance to continue learning
Total,Baringo,indicator3_all_girls,0,0,female,all,children,3,3. Children who receive assistance to continue learning
Total,Baringo,indicator3_host_community_total_children,0,0,total,host_community,children,3,3. Children who receive assistance to continue learning
Total,Baringo,indicator3_host_community_boys,0,0,male,host_community,children,3,3. Children who receive assistance to continue learning
Total,Baringo,indicator3_host_community_girls,0,0,female,host_community,children,3,3. Children who receive assistance to continue learning
Total,Baringo,indicator3_idps_total_children,0,0,total,idps,children,3,3. Children who receive assistance to continue learning
Total,Baringo,indicator3_idps_boys,0,0,male,idps,children,3,3. Children who receive assistance to continue learning
Total,Baringo,indicator3_idps_girls,0,0,female,idps,children,3,3. Children who receive assistance to continue learning
Total,Baringo,indicator3_refugees_total_children,0,0,total,refugees,children,3,3. Children who receive assistance to continue learning
Total,Baringo,indicator3_refugees_boys,0,0,male,refugees,children,3,3. Children who receive assistance to continue learning
Total,Baringo,indicator3_refugees_girls,0,0,female,refugees,children,3,3. Children who receive assistance to continue learning
Total,Baringo,indicator3_cwd_total_children,0,0,total,cwd,children,3,3. Children who receive assistance to continue learning
Total,Baringo,indicator3_cwd_boys,0,0,male,cwd,children,3,3. Children who receive assistance to continue learning
Total,Baringo,indicator3_cwd_girls,0,0,female,cwd,children,3,3. Children who receive assistance to continue learning
Total,Baringo,indicator3_narrative,NA,-,NA,NA,NA,3,3. Children who receive assistance to continue learning
Total,Baringo,indicator4_all_total_adults,324,324,total,all,adults,4,4. Teachers trained resilience programmes
Total,Baringo,indicator4_all_male,172,172,male,all,adults,4,4. Teachers trained resilience programmes
Total,Baringo,indicator4_all_female,152,152,female,all,adults,4,4. Teachers trained resilience programmes
Total,Baringo,indicator4_host_community_total_adults,324,324,total,host_community,adults,4,4. Teachers trained resilience programmes
Total,Baringo,indicator4_host_community_male,172,172,male,host_community,adults,4,4. Teachers trained resilience programmes
Total,Baringo,indicator4_host_community_female,152,152,female,host_community,adults,4,4. Teachers trained resilience programmes
Total,Baringo,indicator4_idps_total_adults,0,0,total,idps,adults,4,4. Teachers trained resilience programmes
Total,Baringo,indicator4_idps_male,0,0,male,idps,adults,4,4. Teachers trained resilience programmes
Total,Baringo,indicator4_idps_female,0,0,female,idps,adults,4,4. Teachers trained resilience programmes
