county,sub_indicator,month,sex_modifier,age_modifier,beneficiary_group,value,comments
 Baringo,indicator1_all_boys,January,male,children,all,97,
 Baringo,indicator1_all_girls,January,female,children,all,66,
 Baringo,indicator1_all_total_children,January,total,children,all,163,
 Baringo,indicator1_cwd_boys,January,male,children,cwd,0,
 Baringo,indicator1_cwd_girls,January,female,children,cwd,0,
 Baringo,indicator1_cwd_total_children,January,total,children,cwd,0,
 Baringo,indicator1_host_community_boys,January,male,children,host_community,97,
 Baringo,indicator1_host_community_girls,January,female,children,host_community,66,
 Baringo,indicator1_host_community_total_children,January,total,children,host_community,163,
 Baringo,indicator1_idps_boys,January,male,children,idps,0,
 Baringo,indicator1_idps_girls,January,female,children,idps,0,
 Baringo,indicator1_idps_total_children,January,total,children,idps,0,
 Baringo,indicator1_narrative,January,NA,NA,NA,0,NA
 Baringo,indicator1_refugees_boys,January,male,children,refugees,0,
 Baringo,indicator1_refugees_girls,January,female,children,refugees,0,
 Baringo,indicator1_refugees_total_children,January,total,children,refugees,0,
 Baringo,indicator2_all_boys,January,male,children,all,0,
 Baringo,indicator2_all_girls,January,female,children,all,0,
 Baringo,indicator2_all_total_children,January,total,children,all,0,
 Baringo,indicator2_cwd_boys,January,male,children,cwd,0,
 Baringo,indicator2_cwd_girls,January,female,children,cwd,0,
 Baringo,indicator2_cwd_total_children,January,total,children,cwd,0,
 Baringo,indicator2_host_community_boys,January,male,children,host_community,0,
 Baringo,indicator2_host_community_girls,January,female,children,host_community,0,
 Baringo,indicator2_host_community_total_children,January,total,children,host_community,0,
 Baringo,indicator2_idps_boys,January,male,children,idps,0,
 Baringo,indicator2_idps_girls,January,female,children,idps,0,
 Baringo,indicator2_idps_total_children,January,total,children,idps,0,
 Baringo,indicator2_narrative,January,NA,NA,NA,0,NA
 Baringo,indicator2_new_classrooms,January,NA,NA,NA,0,
 Baringo,indicator2_new_latrines,January,NA,NA,NA,0,
 Baringo,indicator2_refugees_boys,January,male,children,refugees,0,
 Baringo,indicator2_refugees_girls,January,female,children,refugees,0,
 Baringo,indicator2_refugees_total_children,January,total,children,refugees,0,
 Baringo,indicator2_rehabilitated_classrooms,January,NA,NA,NA,0,
 Baringo,indicator2_rehabiltated_latrines,January,NA,NA,NA,0,
 Baringo,indicator3_all_boys,January,male,children,all,0,
 Baringo,indicator3_all_girls,January,female,children,all,0,
 Baringo,indicator3_all_total_children,January,total,children,all,0,
 Baringo,indicator3_cwd_boys,January,male,children,cwd,0,
 Baringo,indicator3_cwd_girls,January,female,children,cwd,0,
 Baringo,indicator3_cwd_total_children,January,total,children,cwd,0,
 Baringo,indicator3_host_community_boys,January,male,children,host_community,0,
 Baringo,indicator3_host_community_girls,January,female,children,host_community,0,
 Baringo,indicator3_host_community_total_children,January,total,children,host_community,0,
