month,lead_organisation,organisation_type,donor,sector,education_level,monitoring_indicator,main_activity,implementing_partner,county,sub_county,names_numbers_schools,start_date,end_date,activity_status,boys,girls,men,women,beneficiary_type,total_reached,comments
June,ChildFund Kenya,International NGO,ChildFund Korea,Education,ECE,indicator 2 # of schools/ECD spaces with feeding programmes,Provision of school meals to ECD Centres,Nawiri Children Development Program,Marsabit,Saku,"SKM ECD, Maikona primary, Marsabit Primary, Badasa, Hekima, St. Peters, Hulahula, Karare Primary, Gabodu",2023-01-01T00:00:00Z,2023-06-01T00:00:00Z,Completed,783,673,NA,NA,Vulnerable Residents,1456,NA
June,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Out of School Children enrolment at Primary schools,Women Educational Researchers of Kenya,Kwale,"Msambweni, Matuga, Lungalunga, Kinango, Samburu",NA,2023-06-01T00:00:00Z,2023-06-01T00:00:00Z,Ongoing,1913,1864,NA,NA,Vulnerable Residents,3777,NA
June,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Out of School Children enrolment at Primary schools,Women Educational Researchers of Kenya,Kilifi,"Kaloleni, Malindi, Kilifi North, Kilifi South, Ganze",NA,2023-06-01T00:00:00Z,2023-06-01T00:00:00Z,Ongoing,2324,2233,NA,NA,Vulnerable Residents,4557,NA
June,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Out of School Children enrolment at Primary schools,Women Educational Researchers of Kenya,Kajiado,"Isinya, Kajiado Central, Kajiado West, Kajiado North,",NA,2023-06-01T00:00:00Z,2023-06-01T00:00:00Z,Ongoing,1254,1112,NA,NA,Vulnerable Residents,2366,NA
June,UNICEF,United Nations,EAC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Learners sensitized on hygiene promotion and menstrual heal management in primary schools.,Finn Church Aid,Samburu,"Samburu East 
Samburu Central",NA,2023-06-01T00:00:00Z,2023-06-01T00:00:00Z,Completed,321,417,NA,NA,Vulnerable Residents,738,NA
June,UNICEF,United Nations,EAC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","Learners sensitized on Mental health, psychosocial support and child protection in primary schools.",Finn Church Aid,Samburu,"Samburu East 
Samburu Central","Lolgese Primary School
Nengerpus Primary School
Leirr Primary School
Nontoto Primary School
Ledero Primary School
Lorrok Primary School
Lokuto Primary School
Ngari Primary School",2023-06-01T00:00:00Z,2023-06-01T00:00:00Z,Completed,182,243,NA,NA,Vulnerable Residents,425,NA
June,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Assessment and enrollment of Children with special needs.,Special Olympics Kenya,Samburu,"Samburu East
Samburu North
Samburu Central",NA,2023-06-01T00:00:00Z,2023-06-01T00:00:00Z,Completed,73,57,NA,NA,Vulnerable Residents,130,NA
June,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Enrollment drive for 20 new additional schools conducted in Turkana south and Turkana East.,Finn Church Aid,Turkana,"Turkana south 
Turkana East",NA,2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,NA,NA,125,57,Vulnerable Residents,182,NA
June,UNICEF,United Nations,EAC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Curriculum Support Officer (CSO) and Sub-County Director of Education (SCDE) organized a training to Capacity build school BOM on their roles and to ensure they have developed and or revitalized school strategic plans for their schools.,Finn Church Aid,Turkana,Turkana East,"Katamanak Primary School
Nakukulas Primary School
Kaaruko Primary School
Nayanaekatwan Primary School
Lokorkor Primary School
Namalteny Primary School",2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,NA,NA,47,23,Vulnerable Residents,70,NA
June,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Enrolment drive campaigns at school level towards improved re-enrolment of OOSC through door to door campaigns led by EDCs at the community level towards improved re-enrolment.,Lifeskills Promoters,Turkana,"Turkana Central 
Loima",NA,2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,450,407,NA,NA,Vulnerable Residents,857,NA
