month,lead_organisation,organisation_type,donor,sector,education_level,monitoring_indicator,main_activity,implementing_partner,county,sub_county,start_date,end_date,activity_status,boys,girls,men,women,beneficiary_type,total_reached,comments,source,number_schools,adm1_pcode,indicator_short,sector_reached
August,KENYA NATIONAL COMMISSION FOR UNESCO,Government,FASHION +GLOBAL CITIZENSHIP EDUCATION,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Training of teachers/educators  and youth volunteers on Fashion and Global citizenship education competencies,Lifeskills Promoters,Nairobi,Makadara  Sub County,2023-08-01T00:00:00Z,2023-08-01T00:00:00Z,Completed,NA,NA,14,22,Vulnerable Residents,36,NA,5W_ Education_August 2023 Report_unesco_natcom.xlsx,8,KE047,5. Educators resilience enhancing,36
August,KENYA NATIONAL COMMISSION FOR UNESCO,Government,FASHION +GLOBAL CITIZENSHIP EDUCATION,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Training of students from schools in urban informal  settlements on Fashion and Global citizenship education competencies,Lifeskills Promoters,Nairobi,Makadara  Sub County,2023-08-01T00:00:00Z,2023-08-01T00:00:00Z,Ongoing,42,37,NA,NA,Vulnerable Residents,79,NA,5W_ Education_August 2023 Report_unesco_natcom.xlsx,8,KE047,6. Children resilience enhancing,79
July,Missionary Sisters of the Catechism,Donor,Jimuel,Education,Primary,indicator 4 # of schools with adequate quantites of safe water for drinking and personal hygiene,they get lean water for driking,Missionary Sisters of the Catechism,Narok,Narok west,2023-07-01T00:00:00Z,2023-08-01T00:00:00Z,Ongoing,220,280,NA,NA,Vulnerable Residents,500,they are happy for clean water,5W_ Education_Jul 2023 Report_avsi.xlsx,1,KE033,"4. Safe water, personal hygiene",0
July,AVSI Foundation,International NGO,DSP-AVSI,Education,All Basic Education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,We partially paid school fees to retain children in school.,Evangelizing Sisters of Mary,Kajiado,Kajiado North,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,43,52,4,4,Vulnerable Residents,103,NA,5W_ Education_Jul 2023 Report_avsi.xlsx,5,KE034,1. Access ECD spaces/schools,103
July,Evangelizing Sisters of Mary,International NGO,DSP-AVSI,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Trained teachers on importance of education,Evangelizing Sisters of Mary,Kajiado,Kajiado north,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,NA,NA,14,21,Vulnerable Residents,35,NA,5W_ Education_Jul 2023 Report_avsi.xlsx,5,KE034,5. Educators resilience enhancing,35
July,AVSI Foundation,International NGO,DSP-AVSI,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Follow up the Junior Famers Filed skills (JFFLS)  project,Evangelizing Sisters of Mary,Kajiado,Kajiado north,2023-07-01T00:00:00Z,2023-11-01T00:00:00Z,Ongoing,154,125,6,9,Vulnerable Residents,294,NA,5W_ Education_Jul 2023 Report_avsi.xlsx,4,KE034,6. Children resilience enhancing,294
July,AVSI Foundation,International NGO,DSP-AVSI,Education,Primary,indicator 3 # of learners and teachers reached with learning and  teaching materials,Children and teachers were sensitized on importance of art therapy to maintain pyschosocial health.,Evangelizing Sisters of Mary,Kajiado,Kajiado north,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,101,176,12,16,Vulnerable Residents,305,NA,5W_ Education_Jul 2023 Report_avsi.xlsx,5,KE034,3. Teaching materials,0
July,SMB,International NGO,DSP-AVSI,Education,ECE & Primary,indicator 2 # of schools/ECD spaces with feeding programmes,learning  and feeding programme,SMB,Kajiado,Kajiado west,2023-06-01T00:00:00Z,2023-07-01T00:00:00Z,Ongoing,65,70,NA,NA,Vulnerable Residents,135,All the children attending school,5W_ Education_Jul 2023 Report_avsi.xlsx,1,KE034,2. Feeding programmes,135
July,Finn Church Aid,International NGO,UNHCR,Education,ECE,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Learners enrolled across 8 ECE Centres supported by FCA,Finn Church Aid,Turkana,Turkana West,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,2193,2050,0,0,Vulnerable Residents,4243,Number of learners enrolled across FCA schools and benefitting from child friendly and safe learning environment.,5W_ Education_July 2023 Report_fca.xlsx,8,KE023,1. Access ECD spaces/schools,4243
July,Finn Church Aid,International NGO,UNHCR,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Learners enrolled across 8 primary schools supported by FCA,Finn Church Aid,Turkana,Turkana West,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,10763,8326,0,0,Vulnerable Residents,19089,Learners enrolled across 8 primary schools supported by FCA,5W_ Education_July 2023 Report_fca.xlsx,8,KE023,1. Access ECD spaces/schools,19089
