month,county,indicator1_all_total,indicator1_all_boys,indicator1_all_girls,indicator1_host_community_total,indicator1_host_community_boys,indicator1_host_community_girls,indicator5_all_total,indicator5_all_male,indicator5_all_female,indicator5_host_community_total,indicator5_host_community_male,indicator5_host_community_female,indicator4_all_total,indicator4_all_male,indicator4_all_female,indicator4_host_community_total,indicator4_host_community_male,indicator4_host_community_female,indicator7_beneficiary_type_total,indicator7_all_boys,indicator7_all_girls,indicator7_host_community_total,indicator7_host_community_boys,indicator7_host_community_girls,indicator3_all_total,indicator3_all_boys,indicator3_all_girls,indicator3_host_community_total,indicator3_host_community_boys,indicator3_host_community_girls,indicator2_all_total,indicator2_all_boys,indicator2_all_girls,indicator2_host_community_total,indicator2_host_community_boys,indicator2_host_community_girls,indicator2_rehabiltated_latrines,indicator1_cwd_total,indicator1_cwd_boys,indicator1_cwd_girls,indicator6_all_total,indicator6_all_male,indicator6_all_female,indicator1_refugees_total,indicator1_refugees_boys,indicator1_refugees_girls,indicator3_refugees_total,indicator3_refugees_boys,indicator3_refugees_girls,indicator3_cwd_total,indicator3_cwd_boys,indicator3_cwd_girls,indicator4_refugees_total,indicator4_refugees_male,indicator4_refugees_female,indicator5_refugees_total,indicator5_refugees_male,indicator5_refugees_female,indicator7_refugees_total,indicator7_refugees_girls,indicator7_refugees_boys
January, Baringo,163,97,66,163,97,66,133,105,28,133,105,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March, Baringo,317,136,181,317,136,181,1379,714,665,1379,714,665,20,11,9,20,11,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April, Baringo,254,157,97,NA,157,97,47,23,24,47,23,24,304,161,143,304,161,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June, Baringo,83,36,47,NA,36,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,Garissa,NA,NA,NA,NA,NA,NA,188,106,82,188,106,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,Garissa,1242,575,667,1242,575,667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January, Isiolo,1530,784,746,1530,784,746,175,94,81,175,94,81,NA,NA,NA,NA,NA,NA,682,313,369,682,313,369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February, Isiolo,158,101,57,158,101,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May, Isiolo,833,414,419,NA,414,419,NA,NA,NA,NA,NA,NA,71,28,43,71,28,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March, Kajiado,1094,560,534,1094,560,534,83,27,56,83,27,56,NA,NA,NA,NA,NA,NA,2097,1112,985,2097,1112,985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May, Kajiado,1926,987,939,1926,987,939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3288,910,2378,3288,910,2378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March, Kilifi,757,400,357,757,400,357,64,32,32,64,32,32,NA,NA,NA,NA,NA,NA,788,160,628,788,160,628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May, Kilifi,89,52,37,89,52,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,52,37,89,52,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
