county,month,indicator1_all_total,indicator1_all_boys,indicator1_all_girls,indicator1_host_community_total,indicator1_host_community_boys,indicator1_host_community_girls,indicator1_idps_total,indicator1_idps_boys,indicator1_idps_girls,indicator1_refugees_total,indicator1_refugees_boys,indicator1_refugees_girls,indicator1_cwd_total,indicator1_cwd_boys,indicator1_cwd_girls,indicator1_narrative,indicator2_all_total,indicator2_all_boys,indicator2_all_girls,indicator2_host_community_total,indicator2_host_community_boys,indicator2_host_community_girls,indicator2_idps_total,indicator2_idps_boys,indicator2_idps_girls,indicator2_refugees_total,indicator2_refugees_boys,indicator2_refugees_girls,indicator2_cwd_total,indicator2_cwd_boys,indicator2_cwd_girls,indicator2_new_latrines,indicator2_rehabiltated_latrines,indicator2_new_classrooms,indicator2_rehabilitated_classrooms,indicator2_narrative,indicator3_all_total,indicator3_all_boys,indicator3_all_girls,indicator3_host_community_total,indicator3_host_community_boys,indicator3_host_community_girls,indicator3_idps_total,indicator3_idps_boys,indicator3_idps_girls,indicator3_refugees_total,indicator3_refugees_boys,indicator3_refugees_girls,indicator3_cwd_total,indicator3_cwd_boys,indicator3_cwd_girls,indicator3_narrative,indicator4_all_total,indicator4_all_male,indicator4_all_female,indicator4_host_community_total,indicator4_host_community_male,indicator4_host_community_female,indicator4_idps_total,indicator4_idps_male,indicator4_idps_female,indicator4_refugees_total,indicator4_refugees_male,indicator4_refugees_female,indicator4_narrative,indicator5_all_total,indicator5_all_male,indicator5_all_female,indicator5_host_community_total,indicator5_host_community_male,indicator5_host_community_female,indicator5_idps_total,indicator5_idps_male,indicator5_idps_female,indicator5_refugees_total,indicator5_refugees_male,indicator5_refugees_female,indicator5_narrative,indicator6_all_total,indicator6_all_male,indicator6_all_female,indicator6_narrative,indicator7_all_total,indicator7_all_boys,indicator7_all_girls,indicator7_host_community_total,indicator7_host_community_boys,indicator7_host_community_girls,indicator7_idps_total,indicator7_idps_boys,indicator7_idps_girls,indicator7_refugees_total,indicator7_refugees_boys,indicator7_refugees_girls,indicator7_cwd_total,indicator7_cwd_boys,indicator7_cwd_girls,indicator7_narrative
 Baringo,Jan,163,97,66,163,97,66,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,133,105,28,133,105,28,0,0,0,0,0,0,"To support Board of Management (BoMs) in implementing school-based strategy and sustainability plan towards enrolment and retention, QASO Officers in Baringo County were supported to conduct school assessment and there after provide recommendation before rolling out training for the BOM members. BOM members were then trained especially on their roles and responsibilities, and enrollment of OOSC.",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
 Baringo,Feb,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Baringo,Mar,317,136,181,317,136,181,0,NA,NA,0,NA,NA,0,NA,NA,"Three targeted and rigorous school and community based OOSC enrolment drives were conducted through child-to-child, door-to-door approaches, and public gatherings (barazas).",0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,20,11,9,20,11,9,0,NA,NA,0,NA,NA,Curriculum Support officers (CSOs) were facilitated to monitor teachers in the OOSC targeted schools to build on existing transition pathways for OOSC.,1379,714,665,1379,714,665,0,NA,NA,0,NA,NA,"Schools’ BOMs training was conducted in Samburu County with emphasis on the roles of BOMs. Additionally, the BOMs were supported to develop specific school improvement plans (SIPs).",NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Baringo,Apr,254,157,97,0,157,97,0,NA,NA,0,NA,NA,0,NA,NA,Enrolment drive campaigns at school level towards improved re-enrolment of OOSC,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,304,161,143,304,161,143,0,NA,NA,0,NA,NA,"A PSEAH sessions on FGM children rights, child labour and early marriages were organised in 12 schools and facilitated by the CPVs.",47,23,24,47,23,24,0,NA,NA,0,NA,NA,"A 3 day training to equip child protection state and non-state actors from local CSOs, Police Service, Probation, Ministry of Education and MoH with knowledge and skills on Case Management  and referral pathways in emergency was conducted.",0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Baringo,May,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Baringo,Jun,83,36,47,0,36,47,0,NA,NA,0,NA,NA,0,NA,NA,Enrolment drive campaigns at school level towards improved re-enrolment of OOSC through door to door campaigns led by EDCs at the community level towards improved re-enrolment.,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Bungoma,Jan,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Bungoma,Feb,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Bungoma,Mar,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Bungoma,Apr,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
