month,indicator,county,adm1_pcode,reached,sector_reached
April,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Baringo,KE030,254,254
April,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Homa Bay,KE043,188166,188166
April,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Isiolo,KE011,977,977
April,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Samburu,KE025,921,921
April,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Turkana,KE023,25316,25316
April,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,West Pokot,KE024,2875,2875
April,indicator 2 # of schools/ECD spaces with feeding programmes,Baringo,KE030,1556,1556
April,indicator 2 # of schools/ECD spaces with feeding programmes,Turkana,KE023,18538,18538
April,indicator 3 # of learners and teachers reached with learning and  teaching materials,Baringo,KE030,2679,0
April,indicator 3 # of learners and teachers reached with learning and  teaching materials,Kilifi,KE003,81,0
April,indicator 3 # of learners and teachers reached with learning and  teaching materials,Narok,KE033,2429,0
April,indicator 3 # of learners and teachers reached with learning and  teaching materials,Turkana,KE023,735,0
April,indicator 4 # of schools with adequate quantities of safe water for drinking and personal hygiene,Baringo,KE030,769,0
April,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Baringo,KE030,351,351
April,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Kilifi,KE003,40,40
April,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Samburu,KE025,41,41
April,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Turkana,KE023,265,265
April,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Wajir,KE008,30,30
April,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",West Pokot,KE024,29,29
April,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Baringo,KE030,128,128
April,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Kajiado,KE034,350,350
April,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Kwale,KE002,350,350
April,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Samburu,KE025,753,753
April,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Turkana,KE023,2882,2882
May,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Baringo,KE030,169,169
May,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Garissa,KE007,1914,1914
May,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Isiolo,KE011,833,833
May,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Kajiado,KE034,1926,1926
May,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Kilifi,KE003,89,89
