month,indicator,county,adm1_pcode,reached,sector_reached
August,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Baringo,KE030,320,320
August,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Kwale,KE002,515,515
August,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Marsabit,KE010,90,90
August,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Meru,KE012,242,242
August,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Samburu,KE025,7,7
August,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Turkana,KE023,52785,52785
August,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,West Pokot,KE024,5362,5362
August,indicator 2 # of schools/ECD spaces with feeding programmes,Kajiado,KE034,3560,3560
August,indicator 2 # of schools/ECD spaces with feeding programmes,Makueni,KE017,688,688
August,indicator 2 # of schools/ECD spaces with feeding programmes,Marsabit,KE010,1229,1229
August,indicator 2 # of schools/ECD spaces with feeding programmes,Meru,KE012,7638,7638
August,indicator 2 # of schools/ECD spaces with feeding programmes,Samburu,KE025,636,636
August,indicator 2 # of schools/ECD spaces with feeding programmes,Turkana,KE023,553,553
August,indicator 3 # of learners and teachers reached with learning and  teaching materials,Kajiado,KE034,130,0
August,indicator 3 # of learners and teachers reached with learning and  teaching materials,Kwale,KE002,130,0
August,indicator 3 # of learners and teachers reached with learning and  teaching materials,Marsabit,KE010,777,0
August,indicator 3 # of learners and teachers reached with learning and  teaching materials,Meru,KE012,909,0
August,indicator 4 # of schools with adequate quantites of safe water for drinking and personal hygiene,Marsabit,KE010,6004,0
August,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Baringo,KE030,50,50
August,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Isiolo,KE011,91,91
August,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Mandera,KE009,85,85
August,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Marsabit,KE010,102,102
August,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Nairobi,KE047,36,36
August,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Turkana,KE023,774,774
August,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",West Pokot,KE024,68,68
August,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Baringo,KE030,643,643
August,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Marsabit,KE010,4459,4459
August,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Meru,KE012,111,111
August,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Nairobi,KE047,79,79
August,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Samburu,KE025,28,28
August,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Turkana,KE023,1887,1887
July,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Baringo,KE030,612,612
July,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Kajiado,KE034,1284,1284
July,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Kilifi,KE003,566,566
July,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Marsabit,KE010,339,339
July,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Meru,KE012,242,242
July,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Samburu,KE025,926,926
July,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Tana River,KE004,854,854
July,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Turkana,KE023,30428,30428
July,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,West Pokot,KE024,6465,6465
July,indicator 2 # of schools/ECD spaces with feeding programmes,Isiolo,KE011,829,829
July,indicator 2 # of schools/ECD spaces with feeding programmes,Kajiado,KE034,12593,12593
July,indicator 2 # of schools/ECD spaces with feeding programmes,Marsabit,KE010,446,446
July,indicator 2 # of schools/ECD spaces with feeding programmes,Meru,KE012,821,821
July,indicator 2 # of schools/ECD spaces with feeding programmes,Samburu,KE025,7539,7539
July,indicator 2 # of schools/ECD spaces with feeding programmes,Turkana,KE023,35499,35499
July,indicator 3 # of learners and teachers reached with learning and  teaching materials,Kajiado,KE034,305,0
July,indicator 3 # of learners and teachers reached with learning and  teaching materials,Meru,KE012,909,0
July,indicator 3 # of learners and teachers reached with learning and  teaching materials,Samburu,KE025,4734,0
July,indicator 3 # of learners and teachers reached with learning and  teaching materials,Turkana,KE023,43740,0
July,indicator 4 # of schools with adequate quantites of safe water for drinking and personal hygiene,Narok,KE033,500,0
July,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Baringo,KE030,43,43
July,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Kajiado,KE034,35,35
July,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Kilifi,KE003,40,40
July,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Kwale,KE002,44,44
July,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Marsabit,KE010,186,186
July,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Samburu,KE025,73,73
July,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Turkana,KE023,435,435
July,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Wajir,KE008,48,48
July,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",West Pokot,KE024,5191,5191
July,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Baringo,KE030,198,198
July,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Garissa,KE007,186,186
July,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Kajiado,KE034,294,294
July,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Meru,KE012,111,111
July,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Tana River,KE004,5250,5250
July,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Turkana,KE023,642,642
July,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Wajir,KE008,3032,3032
September,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Baringo,KE030,400,400
