month,county,unicef_indicator,eie_indicator,beneficiary_group,female_children,male_children,female_adults,male_adults,beneficiaries
April,Baringo,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,host_community,97,157,0,0,254
April,Baringo,4. Teachers trained resilience programmes,"indicator 5.1 # of teachers trained on any programme, including resilience",host_community,0,0,143,161,304
April,Baringo,5. BoM trained resilience programmes,"indicator 5.2 # of BoM trained on any programme, including resilience",host_community,0,0,24,23,47
April,Samburu,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,cwd,110,141,0,0,251
April,Samburu,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,host_community,401,520,0,0,921
April,Samburu,5. BoM trained resilience programmes,"indicator 5.2 # of BoM trained on any programme, including resilience",host_community,0,0,7,12,19
April,Samburu,7. Children life skills mentorship,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",host_community,402,351,0,0,753
April,Turkana,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,cwd,280,220,0,0,500
April,Turkana,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,host_community,2810,2940,0,0,5750
April,Turkana,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,refugees,9,15,0,0,24
April,Turkana,4. Teachers trained resilience programmes,"indicator 5.1 # of teachers trained on any programme, including resilience",host_community,0,0,36,10,46
April,Turkana,4. Teachers trained resilience programmes,"indicator 5.1 # of teachers trained on any programme, including resilience",refugees,0,0,174,45,219
April,Turkana,5. BoM trained resilience programmes,"indicator 5.2 # of BoM trained on any programme, including resilience",host_community,0,0,3,44,47
April,Turkana,7. Children life skills mentorship,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",host_community,736,734,0,0,1470
April,West Pokot,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,cwd,140,110,0,0,250
April,West Pokot,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,host_community,1405,1470,0,0,2875
April,West Pokot,4. Teachers trained resilience programmes,"indicator 5.1 # of teachers trained on any programme, including resilience",host_community,0,0,19,10,29
August,Baringo,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,cwd,0,1,0,0,1
August,Baringo,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,host_community,391,373,0,0,764
August,Baringo,4. Teachers trained resilience programmes,"indicator 5.1 # of teachers trained on any programme, including resilience",host_community,0,0,44,6,50
August,Isiolo,5. BoM trained resilience programmes,"indicator 5.2 # of BoM trained on any programme, including resilience",host_community,0,0,17,74,91
August,Kajiado,3. Children who receive assistance to continue learning,indicator 3 # of learners and teachers reached with learning and teaching materials,host_community,489,623,0,0,1112
August,Kilifi,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,host_community,451,480,0,0,931
August,Kilifi,3. Children who receive assistance to continue learning,indicator 3 # of learners and teachers reached with learning and teaching materials,host_community,994,992,0,0,1986
August,Kilifi,7. Children life skills mentorship,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",host_community,1273,988,0,0,2261
August,Kwale,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,host_community,121,394,0,0,515
August,Kwale,3. Children who receive assistance to continue learning,indicator 3 # of learners and teachers reached with learning and teaching materials,host_community,1047,1063,0,0,2110
August,Mandera,5. BoM trained resilience programmes,"indicator 5.2 # of BoM trained on any programme, including resilience",host_community,0,0,8,77,85
August,Marsabit,2. Children benefiting from child-friendly environment,indicator 7 # of children benefitting from child-friendly environment (any construction or rehabilitation),host_community,90,0,0,0,90
August,Samburu,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,cwd,4,3,0,0,7
August,Samburu,4. Teachers trained resilience programmes,"indicator 5.1 # of teachers trained on any programme, including resilience",host_community,0,0,18,10,28
August,Turkana,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,host_community,2360,1929,0,0,4289
August,Turkana,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,refugees,6234,12453,0,0,18687
August,Turkana,5. BoM trained resilience programmes,"indicator 5.2 # of BoM trained on any programme, including resilience",refugees,0,0,82,53,135
August,Turkana,7. Children life skills mentorship,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",host_community,200,184,0,0,384
August,West Pokot,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,host_community,2588,2774,0,0,5362
August,West Pokot,4. Teachers trained resilience programmes,"indicator 5.1 # of teachers trained on any programme, including resilience",host_community,0,0,33,35,68
February,Garissa,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,host_community,667,575,0,0,1242
February,Isiolo,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,host_community,57,101,0,0,158
February,Marsabit,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,host_community,354,646,0,0,1000
February,Marsabit,5. BoM trained resilience programmes,"indicator 5.2 # of BoM trained on any programme, including resilience",host_community,0,0,10,83,93
February,Tana River,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,host_community,2555,1620,0,0,4175
February,Turkana,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,cwd,60,35,0,0,95
February,Turkana,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,host_community,76,103,0,0,179
February,Turkana,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,refugees,630,781,0,0,1411
February,Turkana,3. Children who receive assistance to continue learning,indicator 3 # of learners and teachers reached with learning and teaching materials,cwd,313,457,0,0,770
February,Turkana,3. Children who receive assistance to continue learning,indicator 3 # of learners and teachers reached with learning and teaching materials,host_community,181,209,0,0,390
February,Turkana,3. Children who receive assistance to continue learning,indicator 3 # of learners and teachers reached with learning and teaching materials,refugees,9028,11078,0,0,20106
February,Turkana,4. Teachers trained resilience programmes,"indicator 5.1 # of teachers trained on any programme, including resilience",host_community,0,0,10,18,28
February,Turkana,4. Teachers trained resilience programmes,"indicator 5.1 # of teachers trained on any programme, including resilience",refugees,0,0,21,101,122
February,Turkana,5. BoM trained resilience programmes,"indicator 5.2 # of BoM trained on any programme, including resilience",host_community,0,0,5,3,8
February,Turkana,5. BoM trained resilience programmes,"indicator 5.2 # of BoM trained on any programme, including resilience",refugees,0,0,66,229,295
February,Turkana,7. Children life skills mentorship,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",refugees,105,0,0,0,105
January,Baringo,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,host_community,66,97,0,0,163
January,Baringo,5. BoM trained resilience programmes,"indicator 5.2 # of BoM trained on any programme, including resilience",host_community,0,0,28,105,133
January,Garissa,5. BoM trained resilience programmes,"indicator 5.2 # of BoM trained on any programme, including resilience",host_community,0,0,82,106,188
January,Isiolo,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,host_community,746,784,0,0,1530
January,Isiolo,5. BoM trained resilience programmes,"indicator 5.2 # of BoM trained on any programme, including resilience",host_community,0,0,81,94,175
January,Isiolo,7. Children life skills mentorship,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",host_community,369,313,0,0,682
January,Marsabit,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,host_community,229,271,0,0,500
January,Marsabit,2. Children benefiting from child-friendly environment,indicator 7 # of children benefitting from child-friendly environment (any construction or rehabilitation),host_community,1245,1303,0,0,2548
January,Samburu,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,host_community,36,51,0,0,87
January,Turkana,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,host_community,978,1364,0,0,2342
January,West Pokot,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,host_community,131,149,0,0,280
January,West Pokot,4. Teachers trained resilience programmes,"indicator 5.1 # of teachers trained on any programme, including resilience",host_community,0,0,19,10,29
July,Baringo,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,host_community,324,288,0,0,612
July,Kajiado,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,host_community,954,227,0,0,1181
July,Kajiado,4. Teachers trained resilience programmes,"indicator 5.1 # of teachers trained on any programme, including resilience",host_community,0,0,368,426,794
July,Kilifi,1. OOSC accessing formal education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,host_community,340,226,0,0,566
