partner type,agency name,acronym
Donor,Canadian High Commission- Global Affairs Canada,GAC
Donor,CBM Global Disability Inclusion ,CBM GLOBAL
Donor,"Danida, Danish Embassy",DANIDA
Donor,European Union Humanitarian Aid ,ECHO
Donor,FCDO,FCDO
Donor,Field Support Services - Kenya (under Global Affaire Canada/High Commission of Canada in Nairobi,FSSP/WUSC
Donor,LEGO Foundation,LEGO Foundation
Donor,UNITED STATES AGENCY FOR INTERNATIONAL DEVELOPMENT ,USAID
Governmental agency/entity,Council of Governors,COG
Governmental agency/entity,Kenya National Commission for UNESCO,KNATCOM
Governmental agency/entity,Kenya National Commission for UNESCO,KNATCOM
Governmental agency/entity,KENYA NATIONAL COMMISSION FOR UNESCO,KNATCOM
Governmental agency/entity,Kenya National Commission for UNESCO ,KNATCOM 
Governmental agency/entity,Kibabii University,KIBU
Governmental agency/entity,Ministry of Education,MOE
Governmental agency/entity,MINISTRY OF EDUCATION,MOE
Governmental agency/entity,MOE  Wajir,MOE
Governmental agency/entity,National Council for Nomadic Education in Kenya,NACONEK
Governmental agency/entity,National Council for Nomadic Education in Kenya,NACONEK
Governmental agency/entity,National Council for Nomadic Education in Kenya,NACONEK
Governmental agency/entity,National Council for Nomadic Education in Kenya,NACONEK
Governmental agency/entity,National Council for Nomadic Education Kenya,NACONEK
Governmental agency/entity,National Council of Nomadic Education in Kenya,NACONEK
Governmental agency/entity,St Paul's university,N\A
Governmental agency/entity,Teachers' Service Commission,TSC
Governmental agency/entity,University of Nairobi ,UoN
Governmental agency/entity,VVOB,VVOB
International NGOs,AVSI FAOUNDATION,AVSI
International NGOs,Build Africa Kenya,Build Africa Kenya
International NGOs,CARE International in Kenya,CIK
International NGOs,ChildFund,ChildFund
International NGOs,ChildFund ,ChildFund
International NGOs,ChildFund Kenya,ChildFund
International NGOs,Christian Blind Mission ,CBM International
International NGOs,Church World Service,CWS
International NGOs,CISP - Comitato Internazionale per lo Sviluppo dei Popoli,CISP
International NGOs,CISP Kenya ,CISP
International NGOs,Comitato Internazionale per lo Sviluppo dei Popoli (International Committee for the Development of Peoples) - CISP Kenya. ,CISP
International NGOs,Concern Worldwide,CWW
International NGOs,Concern worldwide,CW
International NGOs,Dignitas Limited,N/A
International NGOs,EducAid,N/A
International NGOs,Edukans Kenya ,N/A
International NGOs,Edukans Kenya ,N/A
International NGOs,Feed the Children,FEED
International NGOs,Finn Church Aid,Finn Church Aid
International NGOs,Finn Church Aid,FCA
International NGOs,Finn Church Aid,FCA
International NGOs,FINN CHURCH AID,FCA
International NGOs,Finn Church Aid,FCA
International NGOs,Fondazione L'Albero della Vita - Tree of Life Kenya (ToL),ToL 
International NGOs,Global eSchools and Communities Initiatives ,GESCI
International NGOs,Handicap International,HI
International NGOs,Humanity & Inclusion,HI
International NGOs,Humanity & Inclusion,HI
International NGOs,Humanity & Inclusion,HI
International NGOs,Jesuit Refugee Service,JRS
International NGOs,Jesuits Refugee Service,JRS
International NGOs,Mondo,N/A
International NGOs,Non-governmental organisations,NGOs
International NGOs,Norwegian Refugee Council ,NRC 
International NGOs,Plan International Kenya,PIK
International NGOs,Population Council,PC
International NGOs,QATAR CHARITY,QATAR CHARITY
International NGOs,Rotary International,N/A
International NGOs,RTI International,RTI
International NGOs,Save the Children,SCI
