sub_indicator,month,value
indicator1_cwd_boys,Feb,35
indicator1_cwd_boys,Mar,15
indicator1_cwd_boys,Apr,471
indicator1_cwd_girls,Feb,60
indicator1_cwd_girls,Mar,10
indicator1_cwd_girls,Apr,530
indicator1_host_community_boys,Jan,2716
indicator1_host_community_boys,Feb,3045
indicator1_host_community_boys,Mar,6814
indicator1_host_community_boys,Apr,5087
indicator1_host_community_boys,May,2835
indicator1_host_community_boys,Jun,1303
indicator1_host_community_girls,Jan,2186
indicator1_host_community_girls,Feb,3709
indicator1_host_community_girls,Mar,5634
indicator1_host_community_girls,Apr,4713
indicator1_host_community_girls,May,2650
indicator1_host_community_girls,Jun,1357
indicator1_refugees_boys,Feb,781
indicator1_refugees_boys,Apr,15
indicator1_refugees_girls,Feb,630
indicator1_refugees_girls,Apr,9
indicator2_host_community_boys,Jan,1303
indicator2_host_community_boys,May,7311
indicator2_host_community_girls,Jan,1245
indicator2_host_community_girls,May,6979
indicator2_rehabiltated_latrines,Jan,10
indicator3_cwd_boys,Feb,457
indicator3_cwd_girls,Feb,313
indicator3_host_community_boys,Feb,209
indicator3_host_community_boys,Mar,2343
indicator3_host_community_boys,May,9431
indicator3_host_community_girls,Feb,181
indicator3_host_community_girls,Mar,1855
indicator3_host_community_girls,May,10289
indicator3_refugees_boys,Feb,11078
indicator3_refugees_boys,Mar,27686
indicator3_refugees_girls,Feb,9028
indicator3_refugees_girls,Mar,17997
indicator4_host_community_female,Jan,19
indicator4_host_community_female,Feb,10
indicator4_host_community_female,Mar,239
indicator4_host_community_female,Apr,198
indicator4_host_community_female,May,43
indicator4_host_community_male,Jan,10
indicator4_host_community_male,Feb,18
indicator4_host_community_male,Mar,449
indicator4_host_community_male,Apr,181
indicator4_host_community_male,May,28
indicator4_refugees_female,Feb,21
indicator4_refugees_female,Mar,6
indicator4_refugees_female,Apr,174
indicator4_refugees_male,Feb,101
indicator4_refugees_male,Mar,46
indicator4_refugees_male,Apr,45
indicator5_host_community_female,Jan,191
indicator5_host_community_female,Feb,15
indicator5_host_community_female,Mar,808
indicator5_host_community_female,Apr,34
indicator5_host_community_female,May,835
indicator5_host_community_male,Jan,305
indicator5_host_community_male,Feb,86
indicator5_host_community_male,Mar,933
indicator5_host_community_male,Apr,79
indicator5_host_community_male,May,483
indicator5_refugees_female,Feb,66
indicator5_refugees_male,Feb,229
indicator7_host_community_boys,Jan,313
indicator7_host_community_boys,Mar,4064
indicator7_host_community_boys,Apr,1085
indicator7_host_community_boys,May,2396
indicator7_host_community_boys,Jun,400
indicator7_host_community_girls,Jan,369
indicator7_host_community_girls,Mar,4255
indicator7_host_community_girls,Apr,1138
indicator7_host_community_girls,May,4940
indicator7_host_community_girls,Jun,320
indicator7_refugees_boys,Mar,16230
indicator7_refugees_girls,Feb,105
indicator7_refugees_girls,Mar,8596
