partner_type,agency_name,acronym
National NGOs,AFRICAN RANGELANDS TRUST,ART-KENYA
National NGOs,AVSI Foundation,AVSI
National NGOs,Action for Sustainable Change,AFOSC
National NGOs,ActionAid International Kenya,AAIK
National NGOs,"Africa Gender, Disability, and Development Empowerment Circle (AGDEC)",AGDEC
International NGOs,Build Africa Kenya,BAK
International NGOs,CARE International in Kenya,CIK
Donor,CBM Global Disability Inclusion,CBM GLOBAL
International NGOs,CISP - Comitato Internazionale per lo Sviluppo dei Popoli,CISP
National NGOs,CRESNET CBO,CRES
Donor,Canadian High Commission- Global Affairs Canada,GAC
International NGOs,ChildFund Kenya,ChildFund
National NGOs,Childline Kenya,CLK
International NGOs,Christian Blind Mission,CBM
International NGOs,Church World Service,CWS
International NGOs,Concern Worldwide,CW
Governmental agency/entity,Council of Governors,COG
Donor,"Danida, Danish Embassy",DANIDA
National NGOs,Dignitas,DIGN
International NGOs,EducAid,EducAid
National NGOs,Education Bridge Africa,EBA
National NGOs,Education Management & Leadership,EML
National NGOs,Education in Emergencies Association,EIEA
International NGOs,Edukans Kenya,Edukans
National NGOs,Elimu Yetu Coalition,EYC
Donor,European Union Humanitarian Aid,ECHO
Donor,FCDO,FCDO
International NGOs,Feed the Children,FEED
Donor,Field Support Services - Kenya (under Global Affaire Canada/High Commission of Canada in Nairobi,FSSP/WUSC
National NGOs,FilmAid Kenya,FA
International NGOs,Finn Church Aid,FCA
International NGOs,Fondazione L'Albero della Vita - Tree of Life Kenya (ToL),ToL
National NGOs,Food For The Hungry (FH),FH
National NGOs,Forum for African Women Educationalist Kenya,FAWEK
National NGOs,Free Pentecostal Fellowship in Kenya,FPFK
National NGOs,Girl Child Network,GCN
International NGOs,Global eSchools and Communities Initiatives,GESCI
International NGOs,Handicap International,HI
International NGOs,Humanity & Inclusion,H&I
National NGOs,International Aid Services Kenya,IASK
International NGOs,Jesuit Refugee Service,JRS
Governmental agency/entity,KENYA NATIONAL COMMISSION FOR UNESCO,KNATCOM
Governmental agency/entity,Kenya National Commission for UNESCO,KNATCOM
National NGOs,Kenya Red Cross Society,KRCS
Governmental agency/entity,Kibabii University,KIBU
National NGOs,LEC COMMUNITY ORGANIZATION,LEC
Donor,LEGO Foundation,LEGO
National NGOs,Lifeskills Promoters,LISP
Governmental agency/entity,MOE Wajir,MOE Wajir
Governmental agency/entity,Ministry of Education,MOE
International NGOs,Mondo,Mondo
Private Sector,"NATURELOCK FOODS",NLF
Governmental agency/entity,National Council for Nomadic Education in Kenya,"NACONEK"
International NGOs,Non-governmental organisations,NGOs
International NGOs,Norwegian Refugee Council,NRC
National NGOs,Peter Ojiambo Foundation,POF
International NGOs,Plan International Kenya,PLAN
International NGOs,Population Council,PC
International NGOs,Qatar Charity,QATAR
International NGOs,RTI International,RTI
National NGOs,ResQ247,ResQ
International NGOs,Rotary International,RI
International NGOs,Save the Children,SCI
Governmental agency/entity,St Paul's university,SPU
National NGOs,Stawi Dumu Foundation,SDF
International NGOs,Street Child,SC
Governmental agency/entity,Teachers' Service Commission,TSC
International NGOs,Terre Des Hommes Foundation,TDH-F
National NGOs,Tuungane Community Foundation,TCF
Donor,UNITED STATES AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID
UN Agency,United Nations Children's Fund,UNICEF
UN Agency,"United Nations Educational, Scientific and Cultural Organization",UNESCO
UN Agency,United Nations High Commission for Refugees,UNHCR
Governmental agency/entity,University of Nairobi,UoN
Governmental agency/entity,VVOB,VVOB
International NGOs,VVOB,VVOB
International NGOs,Voluntary Service Overseas,VSO
UN Agency,WORLD FOOD PROGRAMME KENYA,WFP
International NGOs,We World,WW
National NGOs,Women Educational Researchers of Kenya,WERK
International NGOs,World University Service of Canada,WUSC
International NGOs,World Vision Kenya,WVK
International NGOs,Worldreader,WR
